,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
0,OLB,South Carolina,252.0,4.55,,,,,,6.33,1
1,RB,Alabama,218.0,4.58,,,,,,6.0,1
2,OT,Boston Col.,334.0,5.56,25.0,23.0,94.0,8.48,4.98,6.33,1
3,TE,Texas Tech,253.0,4.97,29.0,,104.0,7.29,4.49,6.17,0
4,CB,Jackson State,206.0,4.55,34.0,,123.0,7.18,4.15,6.17,1
5,K,Ala-Birmingham,202.0,,,,,,,5.83,0
6,OLB,Penn State,250.0,4.53,,,,,,6.25,1
7,OLB,South Carolina,237.0,4.72,31.0,21.0,112.0,7.96,4.39,6.0,0
8,K,Baylor,167.0,,,,,,,6.0,0
9,CB,Wake Forest,175.0,4.44,35.0,17.0,119.0,7.03,4.14,5.75,1
10,P,North Texas,227.0,,,,,,,6.25,0
11,OT,Syracuse,312.0,5.34,28.0,20.0,96.0,7.72,4.73,6.5,1
12,S,Colorado,208.0,4.62,35.0,10.0,114.0,6.92,4.32,6.0,1
13,CB,Arkansas,199.0,4.44,37.5,16.0,116.0,6.81,4.04,5.83,1
14,CB,Oklahoma,192.0,4.43,38.5,,124.0,6.7,3.99,6.08,1
15,P,East Carolina,200.0,,,,,,,6.17,0
16,OG,Ark-Pine Bluff,312.0,5.19,,29.0,,,,6.25,0
17,CB,Mississippi State,178.0,4.5,34.5,,122.0,6.87,4.2,5.92,1
18,TE,West Virginia,270.0,4.78,33.5,,123.0,6.94,4.08,6.5,1
19,ILB,California,234.0,4.65,,,,,,6.25,0
20,S,Marshall,207.0,4.62,39.5,15.0,119.0,6.48,4.29,6.08,1
21,OG,Colorado,302.0,5.07,31.5,17.0,103.0,7.76,4.58,6.33,1
22,ILB,Arizona,237.0,4.78,31.5,21.0,111.0,7.17,4.33,6.17,1
23,S,Ohio State,204.0,4.55,,,,,,5.92,1
24,DE,Miami (FL),274.0,5.09,29.0,26.0,105.0,7.68,4.49,6.33,1
25,S,Iowa,201.0,4.49,33.0,12.0,115.0,7.06,4.09,6.08,1
26,DT,Virginia Tech,300.0,5.03,,,,,,6.17,0
27,QB,Michigan,211.0,5.28,24.5,,99.0,7.2,4.38,6.33,1
28,DT,Iowa State,309.0,5.19,28.5,28.0,99.0,7.82,4.7,6.33,0
29,RB,UCLA,216.0,4.66,30.0,,117.0,6.64,4.08,5.92,0
30,RB,Utah State,217.0,4.72,31.0,,107.0,7.17,4.39,6.0,0
31,DE,Penn State,269.0,4.78,,,,,,6.42,1
32,S,Nebraska,204.0,4.59,36.0,14.0,116.0,6.93,4.01,5.83,1
33,CB,Nebraska,185.0,4.55,,10.0,,,,5.83,1
34,QB,Northern Arizona,218.0,5.01,29.0,,101.0,7.54,4.87,6.25,0
35,DE,Notre Dame,260.0,4.91,,17.0,,,,6.25,0
36,QB,West Virginia,208.0,4.97,,,100.0,7.46,4.34,6.17,1
37,OLB,Syracuse,244.0,4.47,38.0,,119.0,7.33,4.13,6.25,1
38,QB,Michigan State,206.0,5.03,28.5,,107.0,7.46,4.42,6.33,0
